Job Title,Company,Location,Salary,Skills,Description
"Senior Software Engineer, NYC",Multiverse,NY,$130K - $195K (Employer est.),"Mentoring, AI, Requirements gathering","You have worked in scaled product organisations and promote engineering excellence through architectures that deliver robust, scalable systems; having designed,…&hellip;
Skills: Mentoring, AI, Requirements gathering"
Software Analyst,Intone Networks,NY,$87K - $129K (Glassdoor est.),Not Provided,"Role: Software Analyst Location: Hybrid- Albany, NY…&hellip;"
"Software Engineer (JavaScript, Next.js, React)",Complex,NY,$115K - $140K (Employer est.),"Management, React, Google Ad Manager, Google Tag Manager, JavaScript","Skilled in debugging tools (Grafana, Charles Proxy, browser dev tools). You’ll work closely with product, ad ops, and sales teams to develop and implement…&hellip;
Skills: Management, React, Google Ad Manager, Google Tag Manager, JavaScript"
Lead Software Engineer - Java/React,JPMorganChase,NY,$152K - $215K (Employer est.),"CI/CD, Oracle, Software troubleshooting, React, Kubernetes","Formal training or certification on software engineering concepts and 5+ years applied experience. As a core technical contributor, you are responsible for…&hellip;
Skills: CI/CD, Oracle, Software troubleshooting, React, Kubernetes"
Lead Software Engineer,Disney Entertainment & ESPN Technology,NY,$149K - $200K (Employer est.),"CI/CD, Azure, Software deployment, Data structures, Git","Bachelor’s degree in Computer Science, Information Systems, Software Engineering, Electrical or Electronics Engineering, or comparable field of study, and/or…&hellip;
Skills: CI/CD, Azure, Software deployment, Data structures, Git"
Staff Software Engineer,Intuit,NY,$191K - $259K (Employer est.),"Computer science, React, Mobile applications, Test-driven development, J2EE","Acting as the technical subject matter expert: Mentoring fellow engineers, demonstrating technical expertise, and leading a small team solving challenging…&hellip;
Skills: Computer science, React, Mobile applications, Test-driven development, J2EE"
Asset & Wealth Management - Software Engineer - Associate - New York,Goldman Sachs,NY,$115K - $180K (Employer est.),"Computer science, Java, SQL, OOP, AWS","You will design and implement complex, scalable system for portfolio, performance and risk analytics platforms for usage across AM public.&hellip;
Skills: Computer science, Java, SQL, OOP, AWS"
Python Desk Developer,Barclays,NY,$174K - $192K (Employer est.),"Microsoft Excel, Python, SDLC","Development and implementation of quantitative models and strategies to derive insight into market trends and optimize trading decisions, pricing, and risk…&hellip;
Skills: Microsoft Excel, Python, SDLC"
Staff Software Engineer - Database Monitoring,Datadog,NY,$234K - $300K (Employer est.),"Relational databases, Databases, Distributed systems, AI","You have led impactful technical initiatives in an environment where performance, cost efficiency, ease of use, and resilience/operability are first-order…&hellip;
Skills: Relational databases, Databases, Distributed systems, AI"
Senior Backend Developer (Contract to Hire),Attix,NY,$150K - $200K (Employer est.),"Cloud infrastructure, Go, Cassandra, Kubernetes, Google Cloud Platform","Collaborate with cross-functional teams to design and implement backend services using Golang. Collaborate with front-end developers to integrate user-facing…&hellip;
Skills: Cloud infrastructure, Go, Cassandra, Kubernetes, Google Cloud Platform"
Software Dev Engineer II,Optimum,NY,$100K - $165K (Employer est.),"CI/CD, DevOps, C#, Google Cloud Platform, Java","Bachelor’s degree in computer science or related field. Execute on the implementation of our tools roadmap that includes an CI/CD pipeline that will be…&hellip;
Skills: CI/CD, DevOps, C#, Google Cloud Platform, Java"
"Software Engineer, Borrower Acquisition",January,NY,$160K - $190K (Employer est.),"System architecture, AWS, Analysis skills, Machine learning, Terraform","Develop and Enhance: Contribute to building a communications engine that uses data and machine learning to tailor communications, driving engagement and…&hellip;
Skills: System architecture, AWS, Analysis skills, Machine learning, Terraform"
Software Engineer - Payments,Brigit,NY,$135K - $180K (Employer est.),"Kubernetes, Google Cloud Platform, Java, SQL, Docker","Implementing algorithms related to monetary transaction evaluation, risk management, income verification, and other predictive models.&hellip;
Skills: Kubernetes, Google Cloud Platform, Java, SQL, Docker"
Front End Engineer,Blue Ocean Talent,NY,$123K - $135K (Employer est.),"Web accessibility, Computer science, Management, CSS, React","*Bachelor’s degree* in Computer Science, Engineering, or a related field (or equivalent experience). Experience with *state management libraries (Redux, MobX,…&hellip;
Skills: Web accessibility, Computer science, Management, CSS, React"
Software Engineer in Test,MetTel,NY,$90K - $120K (Employer est.),"Jira, CI/CD, React, Kubernetes, C#","Completed the ISTQB foundation level certification/ISTQB Agile Tester certification preferred. Participate in test strategy, test cases/suites design,…&hellip;
Skills: Jira, CI/CD, React, Kubernetes, C#"
Software Engineer - .Net,M&T Bank,NY,$94K - $156K (Employer est.),".NET, Application development, Analysis skills, Presentation skills, Systems analysis","Serves as a principal application designer for major modifications effectively using analytical and technical skills and available technology and tools in the…&hellip;
Skills: .NET, Application development, Analysis skills, Presentation skills, Systems analysis"
Software Engineer (Leadership) - Infrastructure,Meta,NY,$213K - $293K (Employer est.),"Computer science, Operating systems, C#, Java, C++","Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.&hellip;
Skills: Computer science, Operating systems, C#, Java, C++"
